# Long data file split by latools on 2021:06:22 22:02:50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Sample: PNG16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Analysis Time: 2021-06-10 06:47:04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time,Na23,Mg24,Al27,Si29,K39,Ca44,Ti47,V51,Cr52,Mn55,Fe57,Co59,Ni60,Cu63,Zn66,As75,Rb85,Sr88,Y89,Zr90,Nb93,Ba137,La139,Ce140,Nd146,Sm147,Gd157,Dy163,Er166,Yb172,Hf178,Pb208,Th232,U238
0,145744.7365,100.0004,1900.144411,137754.8968,177552.0974,102619.5086,0,400.0064001,4900.960588,6401.63882,1850.13691,0,400.0064001,0,100.0004,0,950.0361014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200.0016,0,0
0.507,145947.0768,0,1900.144411,138867.1019,176943.5593,99595.19373,150.0009,300.0036,5801.345912,4700.883766,1250.062503,0,0,200.0016,100.0004,300.0036,300.0036,0,0,0,0,100.0004,0,0,0,0,0,0,0,0,0,100.0004,0,0
1.01391,146756.4708,0,2300.211619,129062.8669,184349.4379,105442.86,150.0009,200.0016,4600.846556,4600.846556,850.028901,0,300.0036,200.0016,0,100.0004,250.0025,0,0,0,0,0,0,2400.230422,0,0,50.0001,0,0,0,0,0,0,0
1.52093,146655.2937,300.0036,1600.102407,133205.9918,180798.1306,106552.2076,200.0016,200.0016,5601.254681,5401.166652,1300.067604,0,300.0036,0,0,100.0004,350.0049001,0,0,1500.090005,0,0,0,50.0001,0,0,0,0,0,0,0,100.0004,0,0
2.02787,153435.9594,0,2100.176415,138260.4324,183436.1489,104636.1234,150.0009,700.0196005,16611.02972,6201.537981,1450.084105,0,200.0016,100.0004,200.0016,100.0004,150.0009,0,0,0,0,100.0004,0,0,0,0,0,0,0,0,0,0,0,0
2.53471,149083.7686,100.0004,2000.160013,134823.1916,185465.7699,110889.6889,150.0009,900.0324012,5701.299896,5201.081825,1900.144411,0,200.0016,400.0064001,400.0064001,100.0004,400.0064001,0,0,0,0,100.0004,0,0,0,0,0,0,0,0,0,0,0,0
3.04156,143620.3595,100.0004,1400.078404,139676.0401,180189.4356,109376.4438,150.0009,200.0016,4800.921777,4700.883766,1200.057603,0,700.0196005,200.0016,0,100.0004,250.0025,0,0,50.0001,0,0,0,0,0,0,0,0,0,0,0,100.0004,0,0
3.54856,157283.3354,100.0004,2900.336439,146452.9419,189322.9513,110385.2536,200.0016,0,6401.63882,5701.299896,950.0361014,0,200.0016,100.0004,100.0004,200.0016,400.0064001,0,0,0,0,0,0,0,0,0,50.0001,0,0,0,50.0001,200.0016,0,0
4.05544,152322.4648,0,2000.160013,148577.7976,183030.264,109679.0782,300.0036,200.0016,7702.372331,5401.166652,1450.084105,100.0004,200.0016,200.0016,100.0004,300.0036,250.0025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.56245,145643.5675,200.0016,4800.921777,144429.6036,187089.7023,102821.1555,200.0016,100.0004,6601.74286,5301.123838,1350.072904,100.0004,500.0100002,100.0004,200.0016,100.0004,150.0009,0,0,0,0,0,100.0004,0,0,0,0,0,0,0,0,200.0016,0,0
5.06946,154853.2768,0,1900.144411,135834.0472,189932.0879,129365.976,150.0009,200.0016,6801.850103,5601.254681,1500.090005,0,300.0036,400.0064001,0,300.0036,50.0001,0,0,0,0,300.0036,0,0,0,0,0,0,0,0,0,100.0004,0,0
5.57646,143215.757,0,3100.384448,139069.3315,190236.6673,103526.9451,150.0009,300.0036,4500.810146,5701.299896,1300.067604,0,100.0004,0,100.0004,0,550.0121003,0,0,0,0,0,0,0,0,0,0,0,50.0001,0,0,100.0004,0,0
6.08347,143519.2076,100.0004,2100.176415,140687.2861,190033.6136,104434.4473,0,300.0036,7102.016973,5401.166652,1800.129609,0,200.0016,100.0004,100.0004,200.0016,250.0025,0,0,0,0,0,0,2100.176415,0,0,0,0,0,0,0,0,0,0
6.59047,154752.0345,0,2000.160013,141192.9395,191658.1351,100905.6407,150.0009,200.0016,7202.074197,5301.123838,1250.062503,0,300.0036,200.0016,0,300.0036,150.0009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.09746,142406.5909,0,3000.360043,136339.5055,191048.915,107661.6532,50.0001,300.0036,6001.440346,5201.081825,1900.144411,0,200.0016,400.0064001,200.0016,300.0036,250.0025,0,0,0,100.0004,0,0,0,0,0,0,0,0,0,0,100.0004,0,0
7.60447,136844.9841,100.0004,1700.115608,140990.6757,182218.5333,103930.2713,200.0016,100.0004,6601.74286,5501.210266,1200.057603,0,100.0004,100.0004,100.0004,0,250.0025,500.0100002,0,0,200.0016,700.0196005,100.0004,700.0196005,0,0,50.0001,0,0,50.0001,100.0004,2900.336439,1200.057603,0
8.11148,204052.005,323430.8589,3021419.803,223276.4431,3962492.191,109981.7199,39963.7822,18313.40541,7802.43436,291868.1585,160574.7883,3500.490069,600.0144003,12806.55696,2300.211619,0,28131.61994,28933.44706,3800.577688,1800.129609,3400.462463,31439.488,5201.081825,19965.93281,1450.084105,250.0025,250.0025,600.0144003,200.0016,400.0064001,300.0036,27630.50408,10204.1633,1600.102407
8.61848,598573.048,2532041.977,17435540.74,1078803.276,7862246.151,156777.0345,635106.6687,167312.2921,16410.76546,2221186.325,1615421.091,27129.40828,3300.435658,48895.44391,11805.57223,200.0016,156270.7539,204763.4987,14308.18428,17862.75401,10704.58156,245385.1436,33946.03082,110536.582,6551.71655,950.0361014,1250.062503,1700.115608,1500.090005,900.0324012,500.0100002,85793.41347,27630.50408,6301.588
9.12549,1031881.742,8311008.279,54737522.48,2164162.263,20627490.7,322097.0748,750655.5637,348182.6367,36152.20378,5524794.605,2278355.276,68788.75635,4200.705719,134216.7173,29133.91187,1500.090005,318506.8157,333695.4363,44077.57653,23171.45677,22920.99563,284705.7872,52007.96854,185212.0494,12155.90777,2200.193617,2300.211619,4300.739727,2450.240124,1750.122509,550.0121003,150196.9763,51706.72268,9603.687816
9.6325,1741503.225,13374248.46,106634200,3406858.302,30106295.71,384112.3887,1161613.866,647865.0717,62254.64053,10020530.64,4321165.529,101712.1376,8102.625251,238758.6569,45482.5964,1600.102407,529325.0251,428831.8198,60244.82857,29384.4974,37857.24015,461671.0189,97075.48799,348428.6567,19565.30006,3150.39695,2650.28093,4700.883766,4050.656206,3100.384448,1700.115608,196837.6961,61450.67706,19014.45098
10.1395,2503875.333,17776818.39,145823587.1,4163542.853,34828340.25,526216.5809,1548543.652,755883.6741,80760.04735,14503055.36,4937512.922,129568.0529,23121.36414,265387.6317,53815.5959,1200.057603,570215.8126,528051.8874,71001.07504,40114.26305,40766.36765,468830.2268,97075.48799,393033.3705,22369.99878,4250.722623,4350.757032,5951.416437,3450.476166,2900.336439,1300.067604,236924.2448,67481.66063,22219.73112
10.64651,5746782.715,17861617.06,135143780.4,4318213.176,40703497.6,564040.9049,1715329.825,790277.9388,74320.28533,13647427.81,4891338.401,142305.4488,9103.313606,208524.9181,52911.74962,900.0324012,573093.0145,681953.5773,69392.07727,37054.84116,48092.33729,526249.1525,100099.1956,425521.5283,24123.25482,4800.921777,3750.562584,5051.020306,3650.532978,2450.240124,1600.102407,147363.5504,72207.95892,19314.91111
11.15352,7702323.688,19312686.9,179568510.1,4573552.544,45197506.27,556832.2613,1566211.679,817378.1936,74923.87253,14485958.35,4994818.799,126436.2271,9103.313606,239879.8178,52108.38544,800.0256008,555839.5093,661344.1617,71101.64426,42171.01599,45582.96099,383350.3261,115632.3714,464056.9743,27780.83673,9703.765061,3850.592991,4850.941083,3350.44896,2750.302533,1650.108907,125426.1272,64566.32285,35450.19748
