Element,H1,H2,He3,He4,Li6,Li7,Be9,B10,B11,C12,C13,N14,N15,O16,O17,O18,F19,Ne20,Ne21,Ne22,Na23,Mg24,Mg25,Mg26,Al27,Si28,Si29,Si30,P31,S32,S33,S34,S36,Cl35,Cl37,Ar36,Ar38,Ar40,K39,K40,K41,Ca40,Ca42,Ca43,Ca44,Ca46,Ca48,Sc45,Ti46,Ti47,Ti48,Ti49,Ti50,V50,V51,Cr50,Cr52,Cr53,Cr54,Mn55,Fe54,Fe56,Fe57,Fe58,Co59,Ni58,Ni60,Ni61,Ni62,Ni64,Cu63,Cu65,Zn64,Zn66,Zn67,Zn68,Zn70,Ga69,Ga71,Ge70,Ge72,Ge73,Ge74,Ge76,As75,Se74,Se76,Se77,Se78,Se80,Se82,Br79,Br81,Kr78,Kr80,Kr82,Kr83,Kr84,Kr86,Rb85,Rb87,Sr84,Sr86,Sr87,Sr88,Y89,Zr90,Zr91,Zr92,Zr94,Zr96,Nb93,Mo92,Mo94,Mo95,Mo96,Mo97,Mo98,Mo100,Ru96,Ru98,Ru99,Ru100,Ru101,Ru102,Ru104,Rh103,Pd102,Pd104,Pd105,Pd106,Pd108,Pd110,Ag107,Ag109,Cd106,Cd108,Cd110,Cd111,Cd112,Cd113,Cd114,Cd116,In113,In116,Sn112,Sn114,Sn115,Sn116,Sn117,Sn118,Sn119,Sn120,Sn122,Sn124,Sb121,Sb123,Te120,Te122,Te123,Te124,Te125,Te126,Te128,Te130,I127,Xe124,Xe126,Xe128,Xe129,Xe130,Xe131,Xe132,Xe134,Xe136,Cs133,Ba130,Ba132,Ba134,Ba135,Ba136,Ba137,Ba138,La138,La139,Ce136,Ce138,Ce140,Ce142,Pr141,Nd142,Nd143,Nd144,Nd145,Nd146,Nd148,Nd150,Sm144,Sm147,Sm148,Sm149,Sm150,Sm152,Sm154,Eu151,Eu153,Gd152,Gd154,Gd155,Gd156,Gd157,Gd158,Gd160,Tb159,Dy156,Dy158,Dy160,Dy161,Dy162,Dy163,Dy164,Ho165,Er162,Er164,Er166,Er167,Er168,Er170,Tm169,Yb168,Yb170,Yb171,Yb172,Yb173,Yb174,Yb176,Lu175,Lu176,Hf174,Hf176,Hf177,Hf178,Hf179,Hf180,Ta180,Ta181,W180,W182,W183,W184,W186,Re185,Re187,Os184,Os186,Os187,Os188,Os189,Os190,Os192,Ir191,Ir193,Pt190,Pt192,Pt194,Pt195,Pt196,Pt198,Au197,Hg196,Hg198,Hg199,Hg200,Hg201,Hg202,Hg204,Tl203,Tl205,Pb204,Pb206,Pb207,Pb208,Bi209,Th232,U234,U235,U238,Th232O16
ATHO-G,NA,NA,NA,NA,NA,NA,NA,5.7,5.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,621,621,621,64569,353400,353400,353400,109,0.6,0.6,0.6,0.6,NA,NA,NA,NA,NA,21900,21900,21900,12150,12150,12150,12150,12150,12150,NA,1529,1529,1529,1529,1529,3.91,3.91,6.1,6.1,6.1,6.1,821,42400,42400,42400,42400,2.13,13,13,13,13,13,18.6,18.6,141,141,141,141,141,25.3,25.3,1.8,1.8,1.8,1.8,1.8,1.4,0.1,0.1,0.1,0.1,0.1,0.1,1.2,1.2,NA,NA,NA,NA,NA,NA,65.3,65.3,94.1,94.1,94.1,94.1,94.5,512,512,512,512,512,62.4,4.8,4.8,4.8,4.8,4.8,4.8,4.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,NA,NA,5.41,5.41,5.41,5.41,5.41,5.41,5.41,5.41,5.41,5.41,0.32,0.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.08,547,547,547,547,547,547,547,55.6,55.6,121,121,121,121,14.6,60.9,60.9,60.9,60.9,60.9,60.9,60.9,14.2,14.2,14.2,14.2,14.2,14.2,14.2,2.76,2.76,15.3,15.3,15.3,15.3,15.3,15.3,15.3,2.51,16.2,16.2,16.2,16.2,16.2,16.2,16.2,3.43,10.3,10.3,10.3,10.3,10.3,10.3,1.52,10.5,10.5,10.5,10.5,10.5,10.5,10.5,1.54,1.54,13.7,13.7,13.7,13.7,13.7,13.7,3.9,3.9,9.3,9.3,9.3,9.3,9.3,0.0005,0.0005,2,2,2,2,2,2,2,0.09,0.09,8,8,8,8,8,8,0.03,1,1,1,1,1,1,1,0.07,0.07,5.67,5.67,5.67,5.67,0.05,7.4,2.37,2.37,2.37,NA
BAM-B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13800,13800,13800,6150,331882,331882,331882,9.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,5811,5811,5811,75044,75044,75044,75044,75044,75044,NA,98,98,98,98,98,214,214,10.4,10.4,10.4,10.4,NA,328,328,328,328,39,46.4,46.4,46.4,46.4,46.4,89,89,163,163,163,163,163,2.3,2.3,0.8,0.8,0.8,0.8,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KL2-G,NA,NA,NA,NA,NA,NA,NA,2.73,2.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44260,44260,44260,70400,235100,235100,235100,1012,7.7,7.7,7.7,7.7,26,26,NA,NA,NA,3985,3985,3985,77900,77900,77900,77900,77900,77900,NA,15350,15350,15350,15350,15350,309,309,294,294,294,294,1278,83171,83171,83171,83171,NA,112,112,112,112,112,87.9,87.9,110,110,110,110,110,20,20,1.3,1.3,1.3,1.3,1.3,0.17,0.07,0.07,0.07,0.07,0.07,0.07,NA,NA,NA,NA,NA,NA,NA,NA,8.7,8.7,356,356,356,356,25.4,152,152,152,152,152,15,3.6,3.6,3.6,3.6,3.6,3.6,3.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,NA,NA,1.54,1.54,1.54,1.54,1.54,1.54,1.54,1.54,1.54,1.54,0.14,0.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,115,123,123,123,123,123,123,123,13.1,13.1,32.4,32.4,32.4,32.4,4.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,5.54,5.54,5.54,5.54,5.54,5.54,5.54,1.92,1.92,5.92,5.92,5.92,5.92,5.92,5.92,5.92,0.89,5.22,5.22,5.22,5.22,5.22,5.22,5.22,0.961,2.54,2.54,2.54,2.54,2.54,2.54,0.331,2.1,2.1,2.1,2.1,2.1,2.1,2.1,0.285,0.285,3.93,3.93,3.93,3.93,3.93,3.93,0.961,0.961,0.37,0.37,0.37,0.37,0.37,0.0007,0.0007,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.1,0.1,16,16,16,16,16,16,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.07,2.07,2.07,2.07,0.036,1.02,0.548,0.548,0.548,NA
MACS1,NA,NA,NA,NA,NA,NA,NA,25.3,25.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,10,10,110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,393000,393000,393000,393000,393000,393000,NA,0.065,0.065,0.065,0.065,0.065,NA,NA,117,117,117,117,118,162,162,162,162,122,136,136,136,136,136,124,124,123,123,123,123,123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,219,219,219,219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,114,114,114,114,114,114,114,126,126,114,114,114,114,NA,125,125,125,125,125,125,125,124,124,124,124,124,124,124,NA,NA,123,123,123,123,123,123,123,NA,131,131,131,131,131,131,131,NA,128,128,128,128,128,128,NA,133,133,133,133,133,133,133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,121,121,121,121,NA,NA,NA,NA,NA,NA
MACS3,NA,NA,NA,NA,62.2,62.2,56.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5900,1756,1756,1756,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,376900,376900,376900,376900,376900,376900,21,54.9,54.9,54.9,54.9,54.9,46.3,46.3,117,117,117,117,536,11200,11200,11200,11200,57.1,57.4,57.4,57.4,57.4,57.4,120,120,111,111,111,111,111,16.1,16.1,56.9,56.9,56.9,56.9,56.9,44.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6760,6760,6760,6760,NA,8.67,8.67,8.67,8.67,8.67,35.2,1.21,1.21,1.21,1.21,1.21,1.21,1.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.3,53.3,54.6,54.6,54.6,54.6,54.6,54.6,54.6,54.6,NA,NA,58.1,58.1,58.1,58.1,58.1,58.1,58.1,58.1,58.1,58.1,20.6,20.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.7,58.7,58.7,58.7,58.7,58.7,58.7,10.4,10.4,11.2,11.2,11.2,11.2,12.1,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11.8,11.8,10.8,10.8,10.8,10.8,10.8,10.8,10.8,NA,10.7,10.7,10.7,10.7,10.7,10.7,10.7,11.3,11.2,11.2,11.2,11.2,11.2,11.2,NA,NA,NA,NA,NA,NA,NA,NA,10.8,10.8,4.73,4.73,4.73,4.73,4.73,4.73,20.5,20.5,2.16,2.16,2.16,2.16,2.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.2,14.2,56.5,56.5,56.5,56.5,19.9,55.4,1.52,1.52,1.52,NA
NIST610,15,15,NA,NA,468,468,476,350,350,NA,NA,NA,NA,NA,NA,NA,304,NA,NA,NA,99400,432,432,432,10300,325800,325800,325800,413,575,575,575,575,274,274,NA,NA,NA,464,464,464,82200,82200,82200,82200,82200,82200,455,452,452,452,452,452,450,450,408,408,408,408,444,458,458,458,458,410,458.7,458.7,458.7,458.7,458.7,441,441,460,460,460,460,460,433,433,447,447,447,447,447,325,138,138,138,138,138,138,93,93,NA,NA,NA,NA,NA,NA,425.7,425.7,515.5,515.5,515.5,515.5,462,448,448,448,448,448,465,417,417,417,417,417,417,417,NA,NA,NA,NA,NA,NA,NA,1.29,1.21,1.21,1.21,1.21,1.21,1.21,251,251,270,270,270,270,270,270,270,270,434,434,430,430,430,430,430,430,430,430,430,430,396,396,302,302,302,302,302,302,302,302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,366,452,452,452,452,452,452,452,440,440,453,453,453,453,448,430,430,430,430,430,430,430,453,453,453,453,453,453,453,447,447,449,449,449,449,449,449,449,437,437,437,437,437,437,437,437,449,455,455,455,455,455,455,435,450,450,450,450,450,450,450,439,439,435,435,435,435,435,435,446,446,444,444,444,444,444,49.9,49.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.12,3.12,3.12,3.12,3.12,3.12,23.6,NA,NA,NA,NA,NA,NA,NA,59.6,59.6,426,426,426,426,384,457.2,461.5,461.5,461.5,NA
NIST612,NA,NA,NA,NA,40.2,40.2,37.5,34.3,34.3,NA,NA,NA,NA,NA,NA,NA,80,NA,NA,NA,101640,68,68,68,10750,337000,337000,337000,46.6,377,377,377,377,142,142,NA,NA,NA,NA,NA,NA,85050,85050,85050,85050,85050,85050,39.9,44,44,44,44,44,38.8,38.8,36.4,36.4,36.4,36.4,38.7,NA,NA,NA,NA,35.5,38.8,38.8,38.8,38.8,38.8,37.8,37.8,39.1,39.1,39.1,39.1,39.1,36.9,36.9,36.1,36.1,36.1,36.1,36.1,35.7,16.3,16.3,16.3,16.3,16.3,16.3,NA,NA,NA,NA,NA,NA,NA,NA,31.4,31.4,78.4,78.4,78.4,78.4,38.3,37.9,37.9,37.9,37.9,37.9,38.9,37.4,37.4,37.4,37.4,37.4,37.4,37.4,NA,NA,NA,NA,NA,NA,NA,0.91,1.05,1.05,1.05,1.05,1.05,1.05,22,22,28.1,28.1,28.1,28.1,28.1,28.1,28.1,28.1,38.9,38.9,38.6,38.6,38.6,38.6,38.6,38.6,38.6,38.6,38.6,38.6,34.7,34.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.7,39.3,39.3,39.3,39.3,39.3,39.3,39.3,36,36,38.4,38.4,38.4,38.4,37.9,35.5,35.5,35.5,35.5,35.5,35.5,35.5,37.7,37.7,37.7,37.7,37.7,37.7,37.7,35.6,35.6,37.3,37.3,37.3,37.3,37.3,37.3,37.3,37.6,35.5,35.5,35.5,35.5,35.5,35.5,35.5,38.3,38,38,38,38,38,38,36.8,39.2,39.2,39.2,39.2,39.2,39.2,39.2,37,37,NA,NA,NA,NA,NA,NA,37.6,37.6,38,38,38,38,38,6.63,6.63,NA,NA,NA,NA,NA,NA,NA,0.0045,0.0045,2.51,2.51,2.51,2.51,2.51,2.51,4.77,NA,NA,NA,NA,NA,NA,NA,14.9,14.9,38.57,38.57,38.57,38.57,30.2,37.79,37.38,37.38,37.38,NA
StHs,NA,NA,NA,NA,NA,NA,NA,11.8,11.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32939,11900,11900,11900,94200,297700,297700,297700,716,2.7,2.7,2.7,2.7,NA,NA,NA,NA,NA,10710,10710,10710,37700,37700,37700,37700,37700,37700,11.5,4214,4214,4214,4214,4214,90.3,90.3,16.9,16.9,16.9,16.9,589,33968,33968,33968,33968,13.2,23.7,23.7,23.7,23.7,23.7,41.5,41.5,67,67,67,67,67,20.9,20.9,1.1,1.1,1.1,1.1,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.7,30.7,482,482,482,482,11.4,118,118,118,118,118,6.94,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,6,6,6,6,6,6,0.02,0.02,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.5,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,0.2,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.75,298,298,298,298,298,298,298,12,12,26.1,26.1,26.1,26.1,3.2,13,13,13,13,13,13,13,2.78,2.78,2.78,2.78,2.78,2.78,2.78,0.953,0.953,2.59,2.59,2.59,2.59,2.59,2.59,2.59,0.371,2.22,2.22,2.22,2.22,2.22,2.22,2.22,0.42,1.18,1.18,1.18,1.18,1.18,1.18,0.172,1.13,1.13,1.13,1.13,1.13,1.13,1.13,0.168,0.168,3.07,3.07,3.07,3.07,3.07,3.07,0.42,0.42,0.47,0.47,0.47,0.47,0.47,0.0009,0.0009,1,1,1,1,1,1,1,0.02,0.02,1,1,1,1,1,1,0.048,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.11,0.11,10.3,10.3,10.3,10.3,0.11,2.28,1.01,1.01,1.01,NA
T1-G,NA,NA,NA,NA,19.9,19.9,2,4.1,4.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23220,22616,22616,22616,90501,273920,273920,273920,733,2.6,2.6,2.6,2.6,113,113,NA,NA,NA,NA,NA,NA,50743,50743,50744,50744,50744,50744,26.9,4525,4525,4525,4525,4525,190,190,20.9,20.9,20.9,20.9,984,50059,50059,50059,50059,18.9,10.6,10.6,10.6,10.6,10.6,18.8,18.8,74,74,74,74,74,19.4,19.4,1.8,1.8,1.8,1.8,1.8,0.96,0.05,0.05,0.05,0.05,0.05,0.05,0.3,0.3,NA,NA,NA,NA,NA,NA,79.7,79.7,284,284,284,284,23.9,144,144,144,144,144,8.87,4.2,4.2,4.2,4.2,4.2,4.2,4.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,2,2,2,2,2,2,2,2,2,2,0.25,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.69,388,388,388,388,388,388,388,70.4,70.4,127,127,127,127,12.4,41.4,41.4,41.4,41.4,41.4,41.4,41.4,6.57,6.57,6.57,6.57,6.57,6.57,6.57,1.21,1.21,5.31,5.31,5.31,5.31,5.31,5.31,5.31,0.773,4.5,4.5,4.5,4.5,4.5,4.5,4.5,0.86,2.49,2.49,2.49,2.49,2.49,2.49,0.354,2.38,2.38,2.38,2.38,2.38,2.38,2.38,0.354,0.354,3.88,3.88,3.88,3.88,3.88,3.88,0.464,0.464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,6,6,6,6,0.1,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.13,0.13,11.6,11.6,11.6,11.6,0.11,31.3,1.71,1.71,1.71,NA
GSD-G,NA,NA,NA,NA,43,43,46,50,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26707,21712,21712,21712,70920,248678,248678,248678,860,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51458,51458,51458,51458,51458,51458,52,7434,7434,7434,7434,7434,44,44,42,42,42,42,220,103382,103382,103382,103382,40,58,58,58,58,58,42,42,54,54,54,54,54,54,54,32,32,32,32,32,27,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,37.3,37.3,69.4,69.4,69.4,69.4,42,42,42,42,42,42,42,39,39,39,39,39,39,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,23,18,18,18,18,18,18,18,18,38,38,29,29,29,29,29,29,29,29,29,29,43,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,67,67,67,67,67,67,67,39.1,39.1,41.4,41.4,41.4,41.4,45,44.7,44.7,44.7,44.7,44.7,44.7,44.7,47.8,47.8,47.8,47.8,47.8,47.8,47.8,41,41,50.7,50.7,50.7,50.7,50.7,50.7,50.7,47,51.2,51.2,51.2,51.2,51.2,51.2,51.2,49,40.1,40.1,40.1,40.1,40.1,40.1,49,50.9,50.9,50.9,50.9,50.9,50.9,50.9,51.5,51.5,39,39,39,39,39,39,40,40,43,43,43,43,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,12,6,6,6,6,6,6,4,NA,NA,NA,NA,NA,NA,NA,0.9,0.9,50,50,50,50,35,41,41,41,41,NA
