Site	Fire	No.	Sherd	Part	Decorated	Weight	max thickness	exterior colour	core colour	interior	Inclusions	RIM_DIRECTION	LIP	RIM_LIP	radius	Burnished_inside	Burnished_outside	Multi-Impressed	Dash-Impressed_comb	LT-Impressed_comb	Fingernail	Punctate	Incised	Incised_comb	Grooved	Applique	Row_dashes_single	Row_dashes_multiple	Dots	Dashes	Dashes_slanted	Circles	Spikes	Stick	Columns_straight	Columns_slanted	Spaced_rows	Trails	Lines_straight	Lines_wavy	Lines_undulus	Tracks	Cresents	Triangles	Triangles_desc_dots	Single_col	Musical	Nubbin	Nubbin_donut	Agarabi_Adzera
NDO	N	135	NDO/135	body	Y	42.5	10.75	tan4	salmon4	tan4	Moderate			_					Y					Y			Y			Y											Y									Agarabi
NDO	N	151	NDO/151	body	Y	38.6	9.73	tan1	dark grey	tan1	Moderate			_					Y					Y				Y		Y											Y									Agarabi
NDO	N	136	NDO/136	body	Y	32.2	12.51	salmon2	dark grey	salmon2	Sparse			_		Y			Y					Y			Y			Y									Y											notAdzera
NDO	N	152	NDO/152	body	Y	28	10.23	tan1	tan1	tan4	Sparse			_		Y	Y			Y	Y	Y					Y				Y												Y		Y					Adzera
NDO	N	137_150	NDO/137_150	body	Y	109.7	9.85	dark grey	dark grey	dark grey	Sparse			_		Y			Y					Y											Y					Y										Adzera
NIB	N	1	NIB/1	body	Y	74.3	16.36	tan4	sienna3	sienna3	Moderate			_		Y	N					Y										Y																		notAdzera
NIC	N	1	NIC/1	body	N	50.4	12.56	sienna4	salmon4	sienna4	Abundant			_		N	Y																																	
NIC	N	5	NIC/5	body	N	62.4	11.32	sienna4	salmon4	salmon4	Abundant			_			Y																																	
NIC	N	7	NIC/7	body	N	12.7	13.96	salmon3	salmon3	salmon3	Abundant			_																																				
NIC	N	11	NIC/11	body	N	10.7	13.33	tan1	dark grey	dark grey	Abundant			_		N																																		
NIC	N	19	NIC/19	body	N	10	7.4	salmon4	sienna3	sienna3	Abundant			_																																				
NIC	N	30	NIC/30	body	N	31	10.37	sienna3	sienna4	sienna4	Abundant			_		N	N																																	
NIC	N	32	NIC/32	body	N	21.2	7.11	sienna4	sienna4	sienna4	Abundant			_		N																																		
NIC	N	34	NIC/34	body	N	56.6	11.22	tan4	sienna4	sienna4	Abundant			_		Y	N																																	
NIC	N	36	NIC/36	body	N	72.4	10.25	tan1	sienna4	sienna4	Abundant			_		N	N																																	
NIC	N	37	NIC/37	body	N	143.4	15.03	tan4	sienna4	sienna4	Abundant			_		Y	N																																	
NIC	N	38	NIC/38	body	N	29.6	10.6	sienna4	sienna3	sienna3	Abundant			_		N	N																																	
NIC	N	39	NIC/39	body	N	85.1	13.67	tan4	sienna4	sienna4	Abundant			_		Y	N																																	
NIC	N	57	NIC/57	body	N	10.5	9.01	salmon3	salmon4	sienna4	Abundant			_		N																																		
NIC	N	6	NIC/6	body	N	14.7	10.6	salmon3	salmon3	salmon3	Moderate			_		N																																		
NIC	N	9	NIC/9	body	N	9.4	10.65	salmon3	salmon3	salmon3	Moderate			_		N	N																																	
NIC	N	10	NIC/10	body	N	15.2	10.52	tan4	dark grey	dark grey	Moderate			_			Y																																	
NIC	N	12	NIC/12	body	N	12.6	9.84	sienna4	salmon3	salmon3	Moderate			_																																				
NIC	N	20	NIC/20	body	N	21.6	12.51	sienna4	sienna4	sienna4	Moderate			_			Y																																	
NIC	N	21	NIC/21	body	N	33.9	9.16	salmon2	salmon2	salmon4	Moderate			_			Y																																	
NIC	N	29	NIC/29	body	Y	144.3	11	tan4	grey	tan4	Moderate			_							Y	Y																												notAdzera
NIC	N	31	NIC/31	body	N	43	10.34	sienna3	sienna4	sienna4	Moderate			_		Y	N																																	
NIC	N	33	NIC/33	body	N	14.4	19.19	sienna4	sienna4	sienna4	Moderate			_		N																																		
NIC	N	35	NIC/35	body	Y	17.4	8.62	sienna3	dark grey	sienna3	Moderate			_								Y			Y		Y			Y									Y											
NIC	N	51	NIC/51	body	Y	175.3	9.2	tan1	dark grey	tan1	Moderate			_		Y	N							Y	Y												Y		Y											notAdzera
NIC	N	54	NIC/54	body	N	82	10.51	salmon3	tan4	tan4	Moderate			_			N																																	
NIC	N	55	NIC/55	body	N	23.8	7.66	sienna3	sienna3	sienna3	Moderate			_		N	N																																	
NIC	N	56	NIC/56	body	N	22.3	8.71	salmon3	salmon3	salmon3	Moderate			_		N	N																																	
NIC	N	58	NIC/58	body	N	5.6	7.61	salmon3	salmon4	salmon4	Moderate			_		N																																		
